DATETIME;DEWCELS;TEMPCELS;HUMIDITY
05/10/2021 12:13;-4.7;4.9;49.8
05/10/2021 13:13;-5.1;1.4;61.9
05/10/2021 14:13;-4.5;1.2;65.6
05/10/2021 15:13;-4.1;1.2;67.3
05/10/2021 16:13;-3.8;1.3;68.7
05/10/2021 17:13;-3.8;1.2;69.2
05/10/2021 18:13;-3.7;1.2;69.6
05/10/2021 19:13;-3.6;1.2;70
05/10/2021 20:13;-3.5;1.2;70.4
05/10/2021 21:13;-3.5;1.2;70.7
05/10/2021 22:13;-3.4;1.2;71
05/10/2021 23:13;-3.4;1.2;71.2
06/10/2021 00:13;-3.4;1.2;71.4
06/10/2021 01:13;-3.3;1.2;71.7
06/10/2021 02:13;-3.3;1.2;71.9
06/10/2021 03:13;-3.3;1.1;72
06/10/2021 04:13;-3.3;1.1;72.2
06/10/2021 05:13;-3.2;1.2;72.5
06/10/2021 06:13;-3.1;1.2;72.7
06/10/2021 07:13;-3.1;1.2;72.8
06/10/2021 08:13;-3.2;1.1;73
06/10/2021 09:13;-3.1;1.1;73.2
06/10/2021 10:13;-3.1;1.1;73.4
06/10/2021 11:13;-3;1.2;73.5
06/10/2021 12:13;-3;1.1;73.6
06/10/2021 13:13;-3;1.1;73.8
06/10/2021 14:13;-3;1.1;73.9
06/10/2021 15:13;-3;1.1;74
06/10/2021 16:13;-3;1.1;74.1
06/10/2021 17:13;-2.9;1.1;74.2
